decade,cName,hex,hue,sat,lum,hueX,hueY,perc
1950s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,41.11
1950s,Red,#b40000,0,1.00,0.35,0.00,1.00,22.31
1950s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,12.35
1950s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,9.82
1950s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,7.32
1950s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,5.13
1950s,Green,#00852b,139,1.00,0.26,0.66,-0.75,0.93
1950s,Royal Blue,#1c58a7,214,0.71,0.38,-0.56,-0.83,0.36
1950s,Metallic Silver,#cecece,0,0.00,0.81,0.00,1.00,0.27
1950s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,0.16
1960s,Red,#b40000,0,1.00,0.35,0.00,1.00,25.71
1960s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,23.57
1960s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,15.19
1960s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,11.75
1960s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,8.32
1960s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,7.36
1960s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,6.7
1960s,Green,#00852b,139,1.00,0.26,0.66,-0.75,1.24
1960s,Milky White,#e9e9e9,0,0.00,0.91,0.00,1.00,0.06
1960s,Royal Blue,#1c58a7,214,0.71,0.38,-0.56,-0.83,0.06
1960s,Metallic Silver,#cecece,0,0.00,0.81,0.00,1.00,0.01
1970s,Red,#b40000,0,1.00,0.35,0.00,1.00,23.32
1970s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,19.26
1970s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,15.84
1970s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,15.73
1970s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,13.81
1970s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,7.63
1970s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,2.69
1970s,Green,#00852b,139,1.00,0.26,0.66,-0.75,0.84
1970s,Milky White,#e9e9e9,0,0.00,0.91,0.00,1.00,0.2
1970s,Trans-Yellow,#faf15d,57,0.94,0.67,0.84,0.54,0.16
1980s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,24.81
1980s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,15.48
1980s,Red,#b40000,0,1.00,0.35,0.00,1.00,15.45
1980s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,14.16
1980s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,12.56
1980s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,10.45
1980s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,1.41
1980s,Trans-Red,#B82700,13,1.00,0.36,0.22,0.97,1.39
1980s,Green,#00852b,139,1.00,0.26,0.66,-0.75,1.04
1980s,Dark Gray,#545955,132,0.03,0.34,0.74,-0.67,0.78
1990s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,26.1
1990s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,15.72
1990s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,13.98
1990s,Red,#b40000,0,1.00,0.35,0.00,1.00,12.97
